,Node ID,MESSAGE,merge
0,9.345229121864335e+17,Jeeez who knows when Michigan is going to win a game with Haskins as our qb,"Dismay, Neutralize"
1,9.196929204621148e+17,RT @justincsimon: Current NFC North QB Situation:  Lions: Stafford Vikings: Keenum Packers: Hundley Bears: Trubisky,Explain
2,9.11387592234537e+17,@Cwooo92  https://t.co/aRb7ES65Wa,Engage
3,9.501278523930337e+17,RETWEET to help send @KevinLove to @NBAAllStar! #NBAVOTE https://t.co/qRthL3Ot3O,"Engage, Excite, Back"
4,9.131598487111762e+17,"Welcome to The Land, @DwyaneWade!  DETAILS: https://t.co/QlQd1lx0M7  #AllForOne https://t.co/iBUzSRyze0","Engage, Explain"
5,9.204440358562488e+17,I feel so bad for him,Dismay
6,9.534817545805783e+17,"RT @EDP445: If the Eagles go to the SuperBowl and this tweet gets 10,000 retweets, I will streak that game butt ass naked, sweaty big smell…","Engage, Excite"
7,9.732675299122094e+17,Second-round tender for Vikings OL Nick Easton per source.,—
8,9.371840666082877e+17,Urban you are truly retarted,Neutralize
9,9.200172020987208e+17,RT @McJesse: I've done the research and there's no way her ass is sitting on that stool. https://t.co/AIGNpcJn6G,"Explain, Neutralize"
10,9.680132509221356e+17,@faintbunny @Bust_a_klip1 @Ben_steinhoff @casiodelis @kailamick7 @Elliemangan1 @19bsmith  https://t.co/xvd3q3Mwpp,Build
11,9.560969733833646e+17,"RT @ComedyWorIdStar: ""i miss the old cartoon network"" https://t.co/4eY2P5Q6LK",Dismay
12,9.483578911609897e+17,RT @realDonaldTrump: North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone from h…,Dismay
13,9.178842823995433e+17,when you see your twitch mod at an event https://t.co/wmHbR0QFEE,Dismay
14,9.625080721733427e+17,@Charmvnder @JayySwavey Trashcans defend trashcans. Never ending cycle,Neutralize
15,9.399803301691843e+17,@TheBigHerman @ArifHasanNFL How about we stay with whats working and play teddy next year. That should be the plan… https://t.co/16cwLqunub,"Explain, Back"
16,9.235619161355059e+17,RT @ArifHasanNFL: And Teddy https://t.co/2G80VRCS8s,Back
17,9.464994314106839e+17,RT @smartfootball: This box score for Navy is giving me tingly feelings. Zero passing yards (on 0 for 1 passing)... but 455 rushing yards a…,"Explain, Excite"
18,9.196587506964439e+17,Another win for the good guys! #Skol https://t.co/DaHkb79feg,"Excite, Back"
19,9.313294881426842e+17,This game is to easy https://t.co/764KVdpJGS,"Excite, Dismiss"
20,9.75193010974675e+17,@ViNZiIIA Is it in competitive?,Engage
21,9.175637437221806e+17,RT @BandChaserMooda: I know I’m not this mufucking high ‍♂️ I stamp nobody driving this car  https://t.co/VPCo1WChGP,Dismay
22,9.472053493958861e+17,RT @OhioStateFB:  Cotton Bowl Champs  #GoBucks https://t.co/qOVQTGYnTZ,Back
23,9.743258920455086e+17,"I had a Dream last night that drake, travis and Juju smith played fortnite together",—
24,9.711555164906988e+17,RT @DomClare: The Vikings have about a 3 year window to win a Superbowl with their roster. To not put a full effort towards that to save $1…,Dismay
25,9.735739993923174e+17,Kirk Cousins will sign with the Vikings.,—
26,9.263156116046193e+17,Lonzo is trash lol.,"Dismay, Neutralize"
27,9.235547634295972e+17,And Teddy https://t.co/2G80VRCS8s,Back
28,9.294710525178511e+17,RT @TGHSports: Mike Weber and the Buckeyes are giving it to Michigan State right now. Weber with the long touchdown run! #GoBuckeyes https:…,"Excite, Back"
29,9.375788739649413e+17,@Wiz_K1LLa Hope all is fine,Excite
30,9.501429355715994e+17,@K1Ila that team you dumped because you thought you stood no chance with at Nola is last map with OG in the 2k with… https://t.co/qjZiU2jx82,"Explain, Back"
31,9.243593136107233e+17,Lol,Excite
32,9.732746447142257e+17,RT @ProFootballTalk: Second-round tender for Vikings OL Nick Easton per source.,—
